tier,file,upstream,new_upstream,upstream_action,our_lines,line_overlap,id_overlap
DERIVED-HIGH,src/renderer/pages/conversation/index.tsx,src/renderer/pages/conversation/index.tsx,packages/desktop/src/renderer/pages/conversation/index.tsx,MOVED+REWRITTEN,30,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/platforms/assertBridgeSuccess.ts,src/renderer/pages/conversation/platforms/assertBridgeSuccess.ts,packages/desktop/src/renderer/pages/conversation/platforms/assertBridgeSuccess.ts,MOVED-ONLY,4,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/platforms/gemini/useGeminiQuotaFallback.ts,src/renderer/pages/conversation/platforms/gemini/useGeminiQuotaFallback.ts,src/renderer/pages/conversation/platforms/gemini/useGeminiQuotaFallback.ts,DELETED-OR-UNTRACKED-MOVE,39,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/platforms/gemini/useGeminiModelSelection.ts,src/renderer/pages/conversation/platforms/gemini/useGeminiModelSelection.ts,packages/desktop/src/renderer/pages/conversation/platforms/gemini/useGoogleModelSelection.ts,MOVED+EDITED,31,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Messages/types.ts,src/renderer/pages/conversation/Messages/types.ts,packages/desktop/src/renderer/pages/conversation/Messages/types.ts,MOVED+EDITED,2,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Messages/constants.ts,src/renderer/pages/conversation/Messages/constants.ts,packages/desktop/src/renderer/pages/conversation/Messages/constants.ts,MOVED-ONLY,5,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Messages/codex/MessageCodexToolCall.tsx,src/renderer/pages/conversation/Messages/codex/MessageCodexToolCall.tsx,src/renderer/pages/conversation/Messages/codex/MessageCodexToolCall.tsx,DELETED-OR-UNTRACKED-MOVE,30,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Messages/codex/ToolCallComponent/TurnDiffDisplay.tsx,src/renderer/pages/conversation/Messages/codex/ToolCallComponent/TurnDiffDisplay.tsx,src/renderer/pages/conversation/Messages/codex/ToolCallComponent/TurnDiffDisplay.tsx,DELETED-OR-UNTRACKED-MOVE,19,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Messages/codex/ToolCallComponent/PatchDisplay.tsx,src/renderer/pages/conversation/Messages/codex/ToolCallComponent/PatchDisplay.tsx,src/renderer/pages/conversation/Messages/codex/ToolCallComponent/PatchDisplay.tsx,DELETED-OR-UNTRACKED-MOVE,41,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Workspace/utils/filePreview.ts,src/renderer/pages/conversation/Workspace/utils/filePreview.ts,src/renderer/pages/conversation/Workspace/utils/filePreview.ts,DELETED-OR-UNTRACKED-MOVE,5,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Workspace/hooks/useWorkspaceCollapse.ts,src/renderer/pages/conversation/Workspace/hooks/useWorkspaceCollapse.ts,packages/desktop/src/renderer/pages/conversation/hooks/useWorkspaceCollapse.ts,MOVED+REWRITTEN,10,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Workspace/hooks/useWorkspaceModals.ts,src/renderer/pages/conversation/Workspace/hooks/useWorkspaceModals.ts,src/renderer/pages/conversation/Workspace/hooks/useWorkspaceModals.ts,DELETED-OR-UNTRACKED-MOVE,17,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/SortableConversationRow.tsx,src/renderer/pages/conversation/GroupedHistory/SortableConversationRow.tsx,packages/desktop/src/renderer/pages/conversation/GroupedHistory/SortableConversationRow.tsx,MOVED+REWRITTEN,18,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/utils/exportHelpers.ts,src/renderer/pages/conversation/GroupedHistory/utils/exportHelpers.ts,packages/desktop/src/renderer/pages/conversation/GroupedHistory/utils/exportHelpers.ts,MOVED+EDITED,46,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/hooks/useVisibleConversationIds.ts,src/renderer/pages/conversation/GroupedHistory/hooks/useVisibleConversationIds.ts,packages/desktop/src/renderer/pages/conversation/GroupedHistory/hooks/useVisibleConversationIds.ts,MOVED-ONLY,12,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/utils/newConversationName.ts,src/renderer/pages/conversation/utils/newConversationName.ts,packages/desktop/src/renderer/pages/conversation/utils/newConversationName.ts,MOVED-ONLY,2,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/utils/conversationCache.ts,src/renderer/pages/conversation/utils/conversationCache.ts,packages/desktop/src/renderer/pages/conversation/utils/conversationCache.ts,MOVED+REWRITTEN,7,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/utils/layoutCalc.ts,src/renderer/pages/conversation/utils/layoutCalc.ts,packages/desktop/src/renderer/pages/conversation/utils/layoutCalc.ts,MOVED+REWRITTEN,57,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/components/ConversationTitleMinimap/minimapTypes.ts,src/renderer/pages/conversation/components/ConversationTitleMinimap/minimapTypes.ts,packages/desktop/src/renderer/pages/conversation/components/ConversationTitleMinimap/minimapTypes.ts,MOVED+EDITED,19,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/hooks/useContainerWidth.ts,src/renderer/pages/conversation/hooks/useContainerWidth.ts,packages/desktop/src/renderer/pages/conversation/hooks/useContainerWidth.ts,MOVED-ONLY,15,100.0,100.0
DERIVED-HIGH,src/renderer/pages/conversation/hooks/useLayoutConstraints.ts,src/renderer/pages/conversation/hooks/useLayoutConstraints.ts,packages/desktop/src/renderer/pages/conversation/hooks/useLayoutConstraints.ts,MOVED+EDITED,26,100.0,100.0
