tier,band,file,upstream,our_lines,upstream_lines,ferrox_lines,line_overlap,id_overlap
AUTO,identical,tests/unit/process/bridge/applicationBridgeCore.test.ts,tests/unit/process/bridge/applicationBridgeCore.test.ts,28,28,0,100.0,100.0
AUTO,identical,tests/unit/process/team/teammatePrompt.test.ts,tests/unit/process/team/teammatePrompt.test.ts,14,14,0,100.0,100.0
AUTO,identical,tests/unit/process/acp/infra/processUtils.test.ts,tests/unit/process/acp/infra/processUtils.test.ts,29,29,0,100.0,100.0
AUTO,identical,tests/unit/process/acp/session/emitCrashSignal.test.ts,tests/unit/process/acp/session/emitCrashSignal.test.ts,18,18,0,100.0,100.0
AUTO,identical,tests/integration/webui-favicon-build.test.ts,tests/integration/webui-favicon-build.test.ts,74,74,0,100.0,100.0
AUTO,identical,tests/e2e/specs/app-launch.e2e.ts,tests/e2e/specs/app-launch.e2e.ts,14,14,0,100.0,100.0
AUTO,identical,tests/e2e/helpers/teamConfig.ts,tests/e2e/helpers/teamConfig.ts,4,4,0,100.0,100.0
AUTO,identical,tests/e2e/helpers/extensions.ts,tests/e2e/helpers/extensions.ts,46,46,0,100.0,100.0
AUTO,identical,tests/e2e/helpers/assertions.ts,tests/e2e/helpers/assertions.ts,13,13,0,100.0,100.0
AUTO,identical,tests/e2e/helpers/bridge.ts,tests/e2e/helpers/bridge.ts,22,22,0,100.0,100.0
AUTO,identical,tests/e2e/helpers/screenshots.ts,tests/e2e/helpers/screenshots.ts,6,6,0,100.0,100.0
AUTO,identical,tests/e2e/helpers/index.ts,tests/e2e/helpers/index.ts,9,9,0,100.0,100.0
AUTO,identical,src/types.d.ts,src/types.d.ts,5,5,0,100.0,100.0
AUTO,identical,src/renderer/types.d.ts,src/renderer/types.d.ts,2,2,0,100.0,100.0
AUTO,identical,src/renderer/utils/common.ts,src/renderer/utils/common.ts,9,9,0,100.0,100.0
AUTO,identical,src/renderer/utils/ui/focus.ts,src/renderer/utils/ui/focus.ts,8,8,0,100.0,100.0
AUTO,identical,src/renderer/utils/ui/clipboard.ts,src/renderer/utils/ui/clipboard.ts,17,17,0,100.0,100.0
AUTO,identical,src/renderer/utils/ui/createContext.tsx,src/renderer/utils/ui/createContext.tsx,19,19,0,100.0,100.0
AUTO,identical,src/renderer/utils/ui/siderTooltip.ts,src/renderer/utils/ui/siderTooltip.ts,18,18,0,100.0,100.0
AUTO,identical,src/renderer/utils/chat/getLastAssistantText.ts,src/renderer/utils/chat/getLastAssistantText.ts,14,14,0,100.0,100.0
