tier,file,upstream,our_lines,line_overlap,id_overlap,aionui_notice
DERIVED-HIGH,src/renderer/utils/chat/thinkTagFilter.ts,packages/desktop/src/renderer/utils/chat/thinkTagFilter.ts,19,94.7,100.0,False
DERIVED-HIGH,src/renderer/components/agent/MarqueePillLabel.tsx,packages/desktop/src/renderer/components/agent/MarqueePillLabel.tsx,38,94.7,100.0,False
DERIVED-HIGH,src/renderer/pages/cron/ScheduledTasksPage/CronStatusTag.tsx,packages/desktop/src/renderer/pages/cron/ScheduledTasksPage/CronStatusTag.tsx,19,94.7,95.2,False
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/utils/visibleConversationOrder.ts,packages/desktop/src/renderer/pages/conversation/GroupedHistory/utils/visibleConversationOrder.ts,18,94.4,100.0,False
DERIVED-HIGH,src/renderer/utils/model/modelCapabilities.ts,packages/desktop/src/renderer/utils/model/modelCapabilities.ts,35,94.3,100.0,False
DERIVED-HIGH,src/renderer/hooks/ui/useThrottle.ts,packages/desktop/src/renderer/hooks/ui/useThrottle.ts,17,94.1,100.0,False
DERIVED-HIGH,src/renderer/pages/guid/utils/caretUtils.ts,packages/desktop/src/renderer/pages/guid/utils/caretUtils.ts,17,94.1,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/utils/detectPlatform.ts,packages/desktop/src/renderer/pages/conversation/utils/detectPlatform.ts,17,94.1,100.0,False
DERIVED-HIGH,src/process/bridge/notificationBridge.ts,packages/desktop/src/process/bridge/notificationBridge.ts,17,94.1,90.9,False
DERIVED-HIGH,src/common/update/models/VersionInfo.ts,packages/desktop/src/common/update/models/VersionInfo.ts,66,93.9,100.0,False
DERIVED-HIGH,src/renderer/components/media/UploadProgressBar.tsx,packages/desktop/src/renderer/components/media/UploadProgressBar.tsx,16,93.8,100.0,False
DERIVED-HIGH,src/process/utils/zoom.ts,packages/desktop/src/process/utils/zoom.ts,47,93.6,98.1,False
DERIVED-HIGH,src/renderer/pages/conversation/Messages/components/SelectionReplyButton.tsx,packages/desktop/src/renderer/pages/conversation/Messages/components/SelectionReplyButton.tsx,62,93.5,97.5,False
DERIVED-HIGH,src/renderer/services/registerPwa.ts,packages/desktop/src/renderer/services/registerPwa.ts,14,92.9,100.0,False
DERIVED-HIGH,src/renderer/hooks/file/usePasteService.ts,packages/desktop/src/renderer/hooks/file/usePasteService.ts,28,92.9,97.2,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/constants.ts,packages/desktop/src/renderer/pages/conversation/Preview/constants.ts,14,92.9,93.3,False
DERIVED-HIGH,src/renderer/pages/guid/hooks/useTypewriterPlaceholder.ts,packages/desktop/src/renderer/pages/guid/hooks/useTypewriterPlaceholder.ts,13,92.3,100.0,False
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/useSettingsModal.tsx,packages/desktop/src/renderer/components/settings/SettingsModal/useSettingsModal.tsx,13,92.3,92.9,False
DERIVED-HIGH,src/renderer/utils/ui/HOC.tsx,packages/desktop/src/renderer/utils/ui/HOC.tsx,25,92.0,100.0,False
DERIVED-HIGH,src/renderer/utils/chat/latexDelimiters.ts,packages/desktop/src/renderer/utils/chat/latexDelimiters.ts,12,91.7,100.0,False
DERIVED-HIGH,src/renderer/hooks/file/useUploadState.ts,packages/desktop/src/renderer/hooks/file/useUploadState.ts,36,91.7,100.0,False
DERIVED-HIGH,src/process/services/i18n/index.ts,packages/desktop/src/process/services/i18n/index.ts,34,91.2,100.0,False
DERIVED-HIGH,src/renderer/components/chat/EmojiPicker.tsx,packages/desktop/src/renderer/components/chat/EmojiPicker.tsx,57,91.2,98.5,False
DERIVED-HIGH,src/renderer/hooks/ui/useConversationShortcuts.ts,packages/desktop/src/renderer/hooks/ui/useConversationShortcuts.ts,34,91.2,97.5,False
DERIVED-HIGH,src/renderer/utils/file/fileType.ts,packages/desktop/src/renderer/utils/file/fileType.ts,34,91.2,91.7,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/hooks/useScrollSyncHelpers.ts,packages/desktop/src/renderer/pages/conversation/Preview/hooks/useScrollSyncHelpers.ts,53,90.6,100.0,False
DERIVED-HIGH,src/renderer/hooks/mcp/messageQueue.ts,packages/desktop/src/renderer/hooks/mcp/messageQueue.ts,21,90.5,100.0,False
DERIVED-HIGH,src/renderer/pages/settings/AssistantSettings/SkillConfirmModals.tsx,packages/desktop/src/renderer/pages/settings/AssistantSettings/SkillConfirmModals.tsx,62,90.3,100.0,False
DERIVED-HIGH,src/renderer/utils/theme/customCssProcessor.ts,packages/desktop/src/renderer/utils/theme/customCssProcessor.ts,20,90.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/system/useExtI18n.ts,packages/desktop/src/renderer/hooks/system/useExtI18n.ts,30,90.0,96.8,False
DERIVED-HIGH,src/renderer/pages/conversation/components/ChatHistory.tsx,packages/desktop/src/renderer/pages/conversation/components/ChatHistory.tsx,120,90.0,95.4,False
DERIVED-HIGH,src/renderer/pages/conversation/components/ConversationTitleMinimap/index.tsx,packages/desktop/src/renderer/pages/conversation/components/ConversationTitleMinimap/index.tsx,88,89.8,98.4,False
